instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,37,0.6762820512820513,0.5705128205128205,0.6496815286624203,6.49409556388855,0.0
balance-scale,2,42,0.717948717948718,0.6410256410256411,0.6624203821656051,5.691070079803467,0.0
balance-scale,2,53,0.6730769230769231,0.5641025641025641,0.6369426751592356,4.699124336242676,0.0
balance-scale,3,37,0.7147435897435898,0.6602564102564102,0.7133757961783439,1202.0272710323334,0.746031746031746
balance-scale,3,42,0.7019230769230769,0.6794871794871795,0.643312101910828,1201.7590672969818,0.7213114726217793
balance-scale,3,53,0.6602564102564102,0.5384615384615384,0.6369426751592356,1201.7603561878204,0.7564367313284133
balance-scale,4,37,0.7115384615384616,0.6923076923076923,0.7133757961783439,1202.4304239749908,1.0
balance-scale,4,42,0.7724358974358975,0.7435897435897436,0.7006369426751592,1202.7033512592316,1.0
balance-scale,4,53,0.7467948717948718,0.6923076923076923,0.7070063694267515,1202.5300314426422,1.0
balance-scale,5,37,0.5256410256410257,0.5064102564102564,0.4585987261146497,1204.3992640972137,1.0
balance-scale,5,42,0.7435897435897436,0.7051282051282052,0.6560509554140127,1204.1075296401978,1.0
balance-scale,5,53,0.5961538461538461,0.5961538461538461,0.5796178343949044,1203.9429712295532,1.0
breast-cancer,2,37,0.6884057971014492,0.782608695652174,0.6714285714285714,10.569740295410156,0.0
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,11.668315410614014,0.0
breast-cancer,2,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,12.541383266448975,0.0
breast-cancer,3,37,0.8043478260869565,0.7681159420289855,0.6857142857142857,1202.569682598114,0.9583332678025808
breast-cancer,3,42,0.8043478260869565,0.6666666666666666,0.7714285714285715,1201.8535821437836,0.9984638984546473
breast-cancer,3,53,0.7971014492753623,0.6956521739130435,0.6857142857142857,1202.07471036911,1.0
breast-cancer,4,37,0.8043478260869565,0.7391304347826086,0.7142857142857143,1201.7621977329254,1.0
breast-cancer,4,42,0.8260869565217391,0.7246376811594203,0.7142857142857143,1202.2093675136566,1.0
breast-cancer,4,53,0.7681159420289855,0.6376811594202898,0.5571428571428572,1201.949079990387,1.0
