instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,1.988022804260254,0.0
balance-scale,2,0.01,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,2.153233766555786,0.0
balance-scale,2,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,1.5320916175842285,0.0
balance-scale,2,0,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,2.087315320968628,0.0
balance-scale,2,0.01,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,2.230715036392212,0.0
balance-scale,2,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,1.3546571731567383,0.0
balance-scale,2,0,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,1.8711841106414795,0.0
balance-scale,2,0.01,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,2.106093645095825,0.0
balance-scale,2,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,1.4646403789520264,0.0
balance-scale,3,0,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,133.98294115066528,0.0
balance-scale,3,0.01,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,195.71719527244568,0.0
balance-scale,3,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,9.050974369049072,0.0
balance-scale,3,0,42,0.7628205128205128,0.7051282051282052,0.6751592356687898,149.63168168067932,0.0
balance-scale,3,0.01,42,0.7596153846153846,0.6987179487179487,0.6751592356687898,135.70549964904785,0.0
balance-scale,3,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,20.255282878875732,0.0
balance-scale,3,0,53,0.7660256410256411,0.6474358974358975,0.7261146496815286,87.00770592689514,0.0
balance-scale,3,0.01,53,0.7628205128205128,0.6602564102564102,0.7070063694267515,112.11983704566956,0.0
balance-scale,3,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,6.663276672363281,0.0
balance-scale,4,0,37,0.8205128205128205,0.6794871794871795,0.6942675159235668,1200.2775740623474,0.042578120679119896
balance-scale,4,0.01,37,0.7916666666666666,0.6858974358974359,0.7133757961783439,1200.1504530906677,0.1163595724730773
balance-scale,4,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,64.5535352230072,0.0
balance-scale,4,0,42,0.8076923076923077,0.7371794871794872,0.6878980891719745,1200.3332097530365,0.057539678537503934
balance-scale,4,0.01,42,0.7692307692307693,0.7115384615384616,0.6815286624203821,1200.1347813606262,0.16039270841951123
balance-scale,4,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,61.308205127716064,0.0
balance-scale,4,0,53,0.8012820512820513,0.6410256410256411,0.6751592356687898,1200.3975188732147,0.06399999782092439
balance-scale,4,0.01,53,0.7788461538461539,0.6730769230769231,0.7006369426751592,1200.1590478420258,0.12952068087432067
balance-scale,4,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,50.36934494972229,0.0
balance-scale,5,0,37,0.8301282051282052,0.7115384615384616,0.7898089171974523,1200.225885629654,0.17760616131065732
balance-scale,5,0.01,37,0.8173076923076923,0.717948717948718,0.7261146496815286,1200.1664888858795,0.22478455433943395
balance-scale,5,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,221.68084621429443,0.0
balance-scale,5,0,42,0.8237179487179487,0.6987179487179487,0.6815286624203821,1200.2105586528778,0.1843827378846807
balance-scale,5,0.01,42,0.7660256410256411,0.7371794871794872,0.6815286624203821,1200.1612181663513,0.3036032499657271
balance-scale,5,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,328.91610527038574,0.0
balance-scale,5,0,53,0.8333333333333334,0.6987179487179487,0.6878980891719745,1200.203855752945,0.1862820198606297
balance-scale,5,0.01,53,0.7275641025641025,0.6282051282051282,0.6369426751592356,1200.2765078544617,0.43259132519742943
balance-scale,5,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,286.35919761657715,0.0
breast-cancer,2,0,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,5.775559663772583,0.0
breast-cancer,2,0.01,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,6.774886608123779,0.0
breast-cancer,2,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,1.2277181148529053,0.0
breast-cancer,2,0,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,3.603365898132324,0.0
breast-cancer,2,0.01,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,3.4627420902252197,0.0
breast-cancer,2,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,1.4012548923492432,0.0
breast-cancer,2,0,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,5.0355377197265625,0.0
breast-cancer,2,0.01,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,5.815461158752441,0.0
breast-cancer,2,0.1,53,0.7391304347826086,0.7536231884057971,0.6,0.7310452461242676,0.0
breast-cancer,3,0,37,0.8333333333333334,0.6811594202898551,0.6571428571428571,1200.6346099376678,0.017391304347825435
breast-cancer,3,0.01,37,0.8333333333333334,0.7391304347826086,0.6571428571428571,1200.529009103775,0.05542703803090519
breast-cancer,3,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,12.895715236663818,0.0
breast-cancer,3,0,42,0.8478260869565217,0.6521739130434783,0.8,995.2158637046814,0.0
breast-cancer,3,0.01,42,0.8478260869565217,0.6521739130434783,0.8,1200.2628509998322,0.022603404624014823
breast-cancer,3,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,4.575803518295288,0.0
breast-cancer,3,0,53,0.855072463768116,0.7536231884057971,0.6285714285714286,743.2506799697876,0.0
breast-cancer,3,0.01,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,1200.5504684448242,0.02074194259158991
breast-cancer,3,0.1,53,0.7391304347826086,0.7536231884057971,0.6,1.6515858173370361,0.0
breast-cancer,4,0,37,0.8768115942028986,0.6956521739130435,0.7571428571428571,1200.4960713386536,0.14049584979071772
breast-cancer,4,0.01,37,0.855072463768116,0.7536231884057971,0.7428571428571429,1200.4572060108185,0.20528317401582916
breast-cancer,4,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,3.6083521842956543,0.0
breast-cancer,4,0,42,0.8985507246376812,0.7101449275362319,0.7,1200.4638011455536,0.11290311420194434
breast-cancer,4,0.01,42,0.8478260869565217,0.7101449275362319,0.8,1200.505980014801,0.18684349204431713
breast-cancer,4,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,5.17577338218689,0.0
breast-cancer,4,0,53,0.8913043478260869,0.7246376811594203,0.6428571428571429,1200.5465331077576,0.12195120482682834
breast-cancer,4,0.01,53,0.8188405797101449,0.7681159420289855,0.6857142857142857,1200.5205755233765,0.18100782244860722
breast-cancer,4,0.1,53,0.7391304347826086,0.7536231884057971,0.6,3.395920753479004,0.0
breast-cancer,5,0,37,0.9057971014492754,0.6376811594202898,0.7428571428571429,1200.4816315174103,0.10399998233599994
breast-cancer,5,0.01,37,0.8260869565217391,0.8115942028985508,0.6428571428571429,1200.3129088878632,0.2360721957597837
