instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0.0,37,0.746794872,0.634615385,0.707006369,374.7312667,0.0
balance-scale,2,0.01,37,0.679487179,0.58974359,0.656050955,318.3563392,0.0
balance-scale,2,0.1,37,0.657051282,0.653846154,0.630573248,89.79196739,0.0
balance-scale,2,0.0,42,0.740384615,0.705128205,0.681528662,314.1020396,0.0
balance-scale,2,0.01,42,0.730769231,0.692307692,0.668789809,230.1551712,0.0
balance-scale,2,0.1,42,0.711538462,0.679487179,0.668789809,115.49616,0.0
balance-scale,2,0.0,53,0.743589744,0.673076923,0.675159236,284.6221201,0.0
balance-scale,2,0.01,53,0.676282051,0.596153846,0.649681529,386.5926306,0.0
balance-scale,2,0.1,53,0.657051282,0.673076923,0.611464968,115.1257963,0.0
balance-scale,3,0.0,37,0.772435897,0.641025641,0.700636943,601.1680651,1.0
balance-scale,3,0.01,37,0.733974359,0.698717949,0.694267516,601.0270126,0.951903631
balance-scale,3,0.1,37,0.618589744,0.570512821,0.573248408,601.1498902,0.744500846
balance-scale,3,0.0,42,0.730769231,0.673076923,0.630573248,601.0645006,1.0
balance-scale,3,0.01,42,0.743589744,0.685897436,0.649681529,600.9444315,0.9375
balance-scale,3,0.1,42,0.653846154,0.621794872,0.611464968,600.918745,0.756097561
balance-scale,3,0.0,53,0.695512821,0.666666667,0.738853503,601.3888664,0.984615385
balance-scale,3,0.01,53,0.717948718,0.705128205,0.751592357,600.9845934,0.925280899
balance-scale,3,0.1,53,0.669871795,0.621794872,0.668789809,601.4103267,0.629692833
balance-scale,4,0.0,37,0.766025641,0.66025641,0.713375796,602.2484896,1.0
balance-scale,4,0.01,37,0.782051282,0.692307692,0.751592357,602.3889987,0.954979129
balance-scale,4,0.1,37,0.618589744,0.570512821,0.573248408,602.3784244,0.744500846
balance-scale,4,0.0,42,0.762820513,0.705128205,0.687898089,602.81056,1.0
balance-scale,4,0.01,42,0.753205128,0.730769231,0.681528662,602.3331494,0.959731544
balance-scale,4,0.1,42,0.673076923,0.679487179,0.605095541,602.276355,0.754098361
balance-scale,4,0.0,53,0.746794872,0.653846154,0.656050955,602.4383049,1.0
balance-scale,4,0.01,53,0.724358974,0.666666667,0.687898089,602.1278629,0.950965825
balance-scale,4,0.1,53,0.641025641,0.634615385,0.681528662,602.2488689,0.816498316
balance-scale,5,0.0,37,0.698717949,0.621794872,0.643312102,605.4470377,1.0
balance-scale,5,0.01,37,0.705128205,0.641025641,0.656050955,605.5584085,0.979611126
balance-scale,5,0.1,37,0.657051282,0.653846154,0.630573248,605.6837788,0.744500846
balance-scale,5,0.0,42,0.733974359,0.737179487,0.668789809,605.6066887,1.0
balance-scale,5,0.01,42,0.769230769,0.775641026,0.72611465,605.3338442,0.971830986
balance-scale,5,0.1,42,0.631410256,0.647435897,0.566878981,605.9318717,0.87804878
balance-scale,5,0.0,53,0.721153846,0.685897436,0.694267516,605.486444,1.0
balance-scale,5,0.01,53,0.689102564,0.641025641,0.662420382,607.4413314,0.984544695
balance-scale,5,0.1,53,0.641025641,0.634615385,0.681528662,607.5062246,0.806397306
breast-cancer,2,0.0,37,0.782608696,0.782608696,0.685714286,72.82849574,0.0
breast-cancer,2,0.01,37,0.782608696,0.782608696,0.685714286,99.22551155,0.0
breast-cancer,2,0.1,37,0.717391304,0.710144928,0.685714286,49.46185875,0.0
breast-cancer,2,0.0,42,0.753623188,0.68115942,0.742857143,87.75466752,0.0
breast-cancer,2,0.01,42,0.789855072,0.68115942,0.728571429,108.6332955,0.0
breast-cancer,2,0.1,42,0.695652174,0.68115942,0.757142857,27.59147644,0.0
breast-cancer,2,0.0,53,0.826086957,0.710144928,0.657142857,69.77278066,0.0
breast-cancer,2,0.01,53,0.826086957,0.710144928,0.657142857,90.12659788,0.0
breast-cancer,2,0.1,53,0.739130435,0.753623188,0.6,64.25344968,0.0
breast-cancer,3,0.0,37,0.826086957,0.768115942,0.671428571,600.5583189,1.0
breast-cancer,3,0.01,37,0.811594203,0.753623188,0.728571429,600.6402309,0.90701315
breast-cancer,3,0.1,37,0.717391304,0.710144928,0.685714286,439.543318,0.0
breast-cancer,3,0.0,42,0.826086957,0.724637681,0.685714286,600.5974751,1.0
breast-cancer,3,0.01,42,0.84057971,0.739130435,0.728571429,600.4449556,0.884726225
breast-cancer,3,0.1,42,0.695652174,0.68115942,0.757142857,600.4937601,0.223809524
breast-cancer,3,0.0,53,0.847826087,0.753623188,0.657142857,600.6040404,1.0
breast-cancer,3,0.01,53,0.81884058,0.768115942,0.685714286,600.9003413,0.884533143
breast-cancer,3,0.1,53,0.739130435,0.753623188,0.6,600.4809921,0.066666667
breast-cancer,4,0.0,37,0.826086957,0.724637681,0.7,601.2739208,1.0
breast-cancer,4,0.01,37,0.81884058,0.797101449,0.728571429,602.1383173,0.927278604
breast-cancer,4,0.1,37,0.717391304,0.710144928,0.685714286,601.3454616,0.187179487
breast-cancer,4,0.0,42,0.84057971,0.68115942,0.714285714,601.3900068,1.0
breast-cancer,4,0.01,42,0.833333333,0.753623188,0.757142857,601.1792014,0.925975774
breast-cancer,4,0.1,42,0.695652174,0.68115942,0.757142857,601.2949862,0.314285714
breast-cancer,4,0.0,53,0.884057971,0.637681159,0.685714286,601.2633688,1.0
breast-cancer,4,0.01,53,0.81884058,0.710144928,0.685714286,601.8862426,0.92088382
breast-cancer,4,0.1,53,0.739130435,0.753623188,0.6,601.8141818,0.122222222
breast-cancer,5,0.0,37,0.84057971,0.768115942,0.685714286,603.8690555,1.0
breast-cancer,5,0.01,37,0.84057971,0.782608696,0.757142857,603.9571815,0.933823529
breast-cancer,5,0.1,37,0.717391304,0.710144928,0.685714286,602.9425862,0.105128205
breast-cancer,5,0.0,42,0.920289855,0.608695652,0.657142857,603.2500281,1.0
breast-cancer,5,0.01,42,0.826086957,0.753623188,0.742857143,603.1344862,0.930635838
breast-cancer,5,0.1,42,0.695652174,0.68115942,0.757142857,602.930547,0.314285714
breast-cancer,5,0.0,53,0.898550725,0.753623188,0.671428571,603.0408247,1.0
breast-cancer,5,0.01,53,0.81884058,0.768115942,0.685714286,603.3570704,0.927298646
breast-cancer,5,0.1,53,0.739130435,0.753623188,0.6,602.6819901,0.066666667
car-evaluation,2,0.0,37,0.795138889,0.766203704,0.75462963,601.1744375,1.0
car-evaluation,2,0.01,37,0.795138889,0.766203704,0.75462963,601.2101774,0.68967066
