instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,37,0.6762820512820513,0.5705128205128205,0.6496815286624203,7.862054109573364,0.0
balance-scale,2,42,0.717948717948718,0.6410256410256411,0.6624203821656051,6.624675512313843,0.0
balance-scale,2,53,0.6730769230769231,0.5641025641025641,0.6369426751592356,5.622634649276733,0.0
balance-scale,3,37,0.6955128205128205,0.6346153846153846,0.7006369426751592,601.2039694786072,0.8461538461538445
balance-scale,3,42,0.7019230769230769,0.6794871794871795,0.643312101910828,601.0618939399719,0.8360655726922692
balance-scale,3,53,0.6602564102564102,0.5384615384615384,0.6369426751592356,601.048951625824,0.8548375658240375
balance-scale,4,37,0.7307692307692307,0.6923076923076923,0.7133757961783439,601.9935750961304,1.0
balance-scale,4,42,0.7724358974358975,0.7435897435897436,0.7006369426751592,601.7378787994385,1.0
balance-scale,4,53,0.6410256410256411,0.5769230769230769,0.5732484076433121,601.5925099849701,1.0
balance-scale,5,37,0.6602564102564102,0.6346153846153846,0.5796178343949044,603.7505631446838,1.0
balance-scale,5,42,0.7692307692307693,0.75,0.6878980891719745,603.9125680923462,1.0
balance-scale,5,53,0.5961538461538461,0.5961538461538461,0.5796178343949044,604.1991484165192,1.0
breast-cancer,2,37,0.6884057971014492,0.782608695652174,0.6714285714285714,11.192744255065918,0.0
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,12.462610721588137,0.0
breast-cancer,2,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,13.177868843078612,0.0
breast-cancer,3,37,0.8043478260869565,0.7681159420289855,0.6857142857142857,601.1264808177948,0.9988095219372164
breast-cancer,3,42,0.8043478260869565,0.6666666666666666,0.7714285714285715,600.8310377597809,1.0
breast-cancer,3,53,0.7971014492753623,0.6956521739130435,0.6857142857142857,600.9173622131348,1.0
breast-cancer,4,37,0.8043478260869565,0.7391304347826086,0.7142857142857143,601.3978729248047,1.0
breast-cancer,4,42,0.8115942028985508,0.7536231884057971,0.7,601.7337622642517,1.0
breast-cancer,4,53,0.8695652173913043,0.7101449275362319,0.6857142857142857,601.66601395607,1.0
breast-cancer,5,37,0.6376811594202898,0.5797101449275363,0.6285714285714286,603.6280953884125,1.0
breast-cancer,5,42,0.8188405797101449,0.6811594202898551,0.6571428571428571,603.2902035713196,1.0
breast-cancer,5,53,0.8043478260869565,0.7246376811594203,0.5857142857142857,604.0874724388123,1.0
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,12.050049543380736,0.0
car-evaluation,2,42,0.7511574074074074,0.8009259259259259,0.7731481481481481,34.00459599494934,0.0
car-evaluation,2,53,0.78125,0.7453703703703703,0.7685185185185185,19.25566601753235,0.0
car-evaluation,3,37,0.8252314814814815,0.7962962962962963,0.7754629629629629,602.0302274227142,0.9462479863969928
car-evaluation,3,42,0.7546296296296297,0.7824074074074074,0.7638888888888888,601.5215156078339,0.9651190306550392
car-evaluation,3,53,0.8171296296296297,0.8148148148148148,0.8194444444444444,601.7814176082611,0.9177215189873418
car-evaluation,4,37,0.8067129629629629,0.8240740740740741,0.7986111111111112,608.4482736587524,1.0
car-evaluation,4,42,0.8321759259259259,0.8611111111111112,0.8379629629629629,604.4570188522339,1.0
car-evaluation,4,53,0.8043981481481481,0.8032407407407407,0.8148148148148148,604.3772075176239,1.0
