instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0.0,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,1.977177381515503,0.0
balance-scale,2,0.01,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,2.8108394145965576,0.0
balance-scale,2,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,2.179771661758423,0.0
balance-scale,2,0.0,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,2.41670298576355,0.0
balance-scale,2,0.01,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,2.7045276165008545,0.0
balance-scale,2,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,1.838378667831421,0.0
balance-scale,2,0.0,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,2.200120449066162,0.0
balance-scale,2,0.01,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,2.2065305709838867,0.0
balance-scale,2,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,1.8258357048034668,0.0
balance-scale,3,0.0,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,176.28879833221436,0.0
balance-scale,3,0.01,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,246.46827912330627,0.0
balance-scale,3,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,11.21583652496338,0.0
balance-scale,3,0.0,42,0.7628205128205128,0.7051282051282052,0.6751592356687898,184.4656820297241,0.0
balance-scale,3,0.01,42,0.7596153846153846,0.6987179487179487,0.6751592356687898,165.47040677070618,0.0
balance-scale,3,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,24.986035346984863,0.0
balance-scale,3,0.0,53,0.7660256410256411,0.6474358974358975,0.7261146496815286,100.42231678962708,0.0
balance-scale,3,0.01,53,0.7628205128205128,0.6602564102564102,0.7070063694267515,149.43899607658386,0.0
balance-scale,3,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,8.396142721176147,0.0
balance-scale,4,0.0,37,0.8173076923076923,0.6987179487179487,0.7197452229299363,600.10680103302,0.0627450955991825
balance-scale,4,0.01,37,0.7724358974358975,0.6923076923076923,0.7133757961783439,600.0666306018829,0.1756923830997339
balance-scale,4,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,77.59498858451843,0.0
balance-scale,4,0.0,42,0.8044871794871795,0.75,0.6751592356687898,600.131227016449,0.0787250996015914
balance-scale,4,0.01,42,0.7435897435897436,0.75,0.7133757961783439,600.0821650028229,0.2204899777282825
balance-scale,4,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,73.94150352478027,0.0
balance-scale,4,0.0,53,0.8012820512820513,0.6410256410256411,0.6751592356687898,600.2180824279785,0.0786666666666635
balance-scale,4,0.01,53,0.7532051282051282,0.7307692307692307,0.732484076433121,600.1120266914368,0.2015072099443808
balance-scale,4,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,63.53878283500672,0.0
balance-scale,5,0.0,37,0.8301282051282052,0.7115384615384616,0.7898089171974523,600.115128993988,0.1999141833099842
balance-scale,5,0.01,37,0.8012820512820513,0.7115384615384616,0.7197452229299363,600.0660226345062,0.2514881909173296
balance-scale,5,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,255.67127346992493,0.0
balance-scale,5,0.0,42,0.8141025641025641,0.7884615384615384,0.6687898089171974,600.1161313056946,0.2192898952583598
balance-scale,5,0.01,42,0.7339743589743589,0.7307692307692307,0.6242038216560509,600.125851392746,0.3590777168655232
balance-scale,5,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,381.6231367588043,0.0
balance-scale,5,0.0,53,0.8333333333333334,0.6987179487179487,0.6815286624203821,600.0685341358185,0.1999999999999987
balance-scale,5,0.01,53,0.7307692307692307,0.6858974358974359,0.6496815286624203,600.2250003814697,0.4686994031649361
balance-scale,5,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,393.8692698478699,0.0
breast-cancer,2,0.0,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,6.119339466094971,0.0
breast-cancer,2,0.01,37,0.7898550724637681,0.7246376811594203,0.6714285714285714,8.672110795974731,0.0
breast-cancer,2,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,1.501323699951172,0.0
breast-cancer,2,0.0,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,3.822559356689453,0.0
breast-cancer,2,0.01,42,0.7971014492753623,0.6811594202898551,0.7142857142857143,3.4407784938812256,0.0
breast-cancer,2,0.1,42,0.6956521739130435,0.6811594202898551,0.7571428571428571,1.6246931552886963,0.0
breast-cancer,2,0.0,53,0.8260869565217391,0.7101449275362319,0.6571428571428571,5.467042207717896,0.0
breast-cancer,2,0.01,53,0.8260869565217391,0.6956521739130435,0.6714285714285714,7.3109352588653564,0.0
breast-cancer,2,0.1,53,0.7391304347826086,0.7536231884057971,0.6,0.8549168109893799,0.0
breast-cancer,3,0.0,37,0.8333333333333334,0.6811594202898551,0.6571428571428571,600.5942149162292,0.069565217391304
breast-cancer,3,0.01,37,0.8260869565217391,0.6811594202898551,0.7142857142857143,600.2853238582611,0.1007097761678543
breast-cancer,3,0.1,37,0.717391304347826,0.7101449275362319,0.6857142857142857,15.080878257751465,0.0
