instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
monks-3,2,0.0,37,0.971119134,0.949275362,0.964028777,16.26272559
monks-3,2,0.01,37,0.971119134,0.949275362,0.964028777,9.648478508
monks-3,2,0.1,37,0.971119134,0.949275362,0.964028777,7.119430304
monks-2,2,0.0,37,0.63,0.6,0.59602649,198.1599329
monks-2,2,0.01,37,0.626666667,0.673333333,0.701986755,175.3139775
monks-2,2,0.1,37,0.626666667,0.673333333,0.701986755,130.2413626
monks-1,2,0.0,37,0.809352518,0.705035971,0.784172662,99.64436865
monks-1,2,0.01,37,0.809352518,0.705035971,0.784172662,77.64750123
monks-1,2,0.1,37,0.773381295,0.697841727,0.741007194,70.60036397
tic-tac-toe,2,0.0,37,0.720250522,0.694560669,0.675,310.7079191
tic-tac-toe,2,0.01,37,0.720250522,0.694560669,0.675,282.3333228
tic-tac-toe,2,0.1,37,0.659707724,0.635983264,0.658333333,82.10307169
spect,2,0.0,37,0.789473684,0.76119403,0.835820896,8.74679637
spect,2,0.01,37,0.789473684,0.76119403,0.835820896,5.821784973
spect,2,0.1,37,0.789473684,0.76119403,0.835820896,2.866479397
soybean-small,2,0.0,37,0.086956522,0.5,0.166666667,0.819393158
soybean-small,2,0.01,37,1.0,0.75,0.916666667,1.157416582
soybean-small,2,0.1,37,0.652173913,0.75,0.5,0.913555384
house-votes-84,2,0.0,37,0.974137931,0.948275862,0.982758621,6.077861071
house-votes-84,2,0.01,37,0.974137931,0.948275862,0.982758621,3.22672224
house-votes-84,2,0.1,37,0.974137931,0.948275862,0.982758621,0.586488724
hayes-roth,2,0.0,37,0.65,0.475,0.65,17.49201393
hayes-roth,2,0.01,37,0.65,0.475,0.65,7.26306963
hayes-roth,2,0.1,37,0.625,0.4,0.55,26.60781503
car-evaluation,2,0.0,37,0.795138889,0.766203704,0.75462963,600.7673812
car-evaluation,2,0.01,37,0.795138889,0.766203704,0.75462963,600.8012049
car-evaluation,2,0.1,37,0.685185185,0.743055556,0.6875,371.9426277
breast-cancer,2,0.0,37,0.782608696,0.782608696,0.685714286,51.66905451
breast-cancer,2,0.01,37,0.782608696,0.782608696,0.685714286,70.60300088
breast-cancer,2,0.1,37,0.717391304,0.710144928,0.685714286,38.23923731
balance-scale,2,0.0,37,0.746794872,0.634615385,0.707006369,273.1548426
balance-scale,2,0.01,37,0.679487179,0.58974359,0.656050955,237.9610088
balance-scale,2,0.1,37,0.657051282,0.653846154,0.630573248,65.36813283
monks-3,3,0.0,37,0.971119134,0.949275362,0.964028777,600.7438331
monks-3,3,0.01,37,0.971119134,0.949275362,0.964028777,600.6854148
monks-3,3,0.1,37,0.971119134,0.949275362,0.964028777,17.67181182
monks-2,3,0.0,37,0.68,0.613333333,0.562913907,600.7231116
monks-2,3,0.01,37,0.626666667,0.673333333,0.701986755,600.9777856
monks-2,3,0.1,37,0.626666667,0.673333333,0.701986755,600.8069026
monks-1,3,0.0,37,0.90647482,0.841726619,0.877697842,600.6595149
monks-1,3,0.01,37,0.863309353,0.784172662,0.827338129,600.8477659
monks-1,3,0.1,37,0.773381295,0.697841727,0.741007194,600.6599481
tic-tac-toe,3,0.0,37,0.739039666,0.682008368,0.733333333,601.5080364
tic-tac-toe,3,0.01,37,0.755741127,0.732217573,0.716666667,601.3840256
tic-tac-toe,3,0.1,37,0.659707724,0.635983264,0.658333333,601.4275393
spect,3,0.0,37,0.819548872,0.76119403,0.820895522,600.4344277
spect,3,0.01,37,0.789473684,0.76119403,0.835820896,441.5487788
spect,3,0.1,37,0.789473684,0.76119403,0.835820896,5.561118364
soybean-small,3,0.0,37,1.0,1.0,1.0,1.153505325
soybean-small,3,0.01,37,1.0,0.916666667,1.0,1.917988777
soybean-small,3,0.1,37,1.0,1.0,1.0,1.837785482
house-votes-84,3,0.0,37,0.99137931,0.913793103,0.948275862,24.3806777
house-votes-84,3,0.01,37,0.974137931,0.948275862,0.982758621,37.12739944
house-votes-84,3,0.1,37,0.974137931,0.948275862,0.982758621,1.369995832
hayes-roth,3,0.0,37,0.7625,0.65,0.75,600.2523935
hayes-roth,3,0.01,37,0.7375,0.5,0.7,600.2469406
hayes-roth,3,0.1,37,0.6875,0.575,0.725,600.2681034
car-evaluation,3,0.0,37,0.821759259,0.805555556,0.796296296,602.4621353
car-evaluation,3,0.01,37,0.685185185,0.743055556,0.6875,602.0183332
car-evaluation,3,0.1,37,0.685185185,0.743055556,0.6875,602.1127234
breast-cancer,3,0.0,37,0.826086957,0.768115942,0.671428571,600.50594
breast-cancer,3,0.01,37,0.811594203,0.753623188,0.728571429,600.4186821
breast-cancer,3,0.1,37,0.717391304,0.710144928,0.685714286,309.7128978
balance-scale,3,0.0,37,0.772435897,0.641025641,0.700636943,600.7589502
balance-scale,3,0.01,37,0.733974359,0.698717949,0.694267516,600.6697917
balance-scale,3,0.1,37,0.618589744,0.570512821,0.573248408,600.6620395
monks-3,4,0.0,37,0.996389892,0.963768116,1.0,602.0913532
monks-3,4,0.01,37,0.996389892,0.963768116,1.0,601.5915585
monks-3,4,0.1,37,0.971119134,0.949275362,0.964028777,129.6917109
monks-2,4,0.0,37,0.686666667,0.6,0.562913907,601.6875887
monks-2,4,0.01,37,0.676666667,0.646666667,0.662251656,601.761749
monks-2,4,0.1,37,0.626666667,0.673333333,0.701986755,602.0832794
monks-1,4,0.0,37,0.974820144,0.978417266,0.971223022,601.6345398
monks-1,4,0.01,37,0.928057554,0.877697842,0.920863309,601.6077433
monks-1,4,0.1,37,0.773381295,0.697841727,0.741007194,601.6026378
tic-tac-toe,4,0.0,37,0.755741127,0.732217573,0.716666667,603.9252002
tic-tac-toe,4,0.01,37,0.768267223,0.744769874,0.775,603.7619061
tic-tac-toe,4,0.1,37,0.659707724,0.635983264,0.658333333,603.7408226
spect,4,0.0,37,0.864661654,0.731343284,0.805970149,601.3341517
spect,4,0.01,37,0.842105263,0.791044776,0.865671642,601.0577843
spect,4,0.1,37,0.789473684,0.76119403,0.835820896,3.985334396
soybean-small,4,0.0,37,1.0,0.666666667,0.833333333,1.949783325
soybean-small,4,0.01,37,1.0,0.666666667,0.916666667,5.24147892
soybean-small,4,0.1,37,1.0,1.0,1.0,3.365023375
house-votes-84,4,0.0,37,1.0,0.931034483,0.931034483,47.7098608
house-votes-84,4,0.01,37,0.99137931,0.931034483,0.982758621,332.0811026
house-votes-84,4,0.1,37,0.974137931,0.948275862,0.982758621,3.928333521
hayes-roth,4,0.0,37,0.8375,0.775,0.775,600.5651264
hayes-roth,4,0.01,37,0.7875,0.525,0.775,600.6180985
hayes-roth,4,0.1,37,0.7375,0.5,0.7,600.5568621
car-evaluation,4,0.0,37,0.736111111,0.782407407,0.710648148,605.9615574
car-evaluation,4,0.01,37,0.795138889,0.766203704,0.75462963,604.9272573
car-evaluation,4,0.1,37,0.685185185,0.743055556,0.6875,604.8744793
breast-cancer,4,0.0,37,0.789855072,0.608695652,0.542857143,601.0537338
breast-cancer,4,0.01,37,0.804347826,0.782608696,0.7,600.9322894
breast-cancer,4,0.1,37,0.717391304,0.710144928,0.685714286,575.6539214
balance-scale,4,0.0,37,0.817307692,0.705128205,0.777070064,601.8474855
balance-scale,4,0.01,37,0.782051282,0.756410256,0.751592357,601.6869073
balance-scale,4,0.1,37,0.618589744,0.570512821,0.573248408,601.7389791
monks-3,5,0.0,37,0.996389892,0.963768116,1.0,603.9253075
monks-3,5,0.01,37,0.996389892,0.963768116,1.0,612.1703985
monks-3,5,0.1,37,0.971119134,0.949275362,0.964028777,105.6182356
monks-2,5,0.0,37,0.72,0.553333333,0.57615894,604.3562653
monks-2,5,0.01,37,0.676666667,0.653333333,0.629139073,604.0764832
monks-2,5,0.1,37,0.626666667,0.673333333,0.701986755,604.0525947
monks-1,5,0.0,37,0.928057554,0.877697842,0.920863309,604.0172307
monks-1,5,0.01,37,1.0,1.0,1.0,603.9799678
monks-1,5,0.1,37,0.773381295,0.697841727,0.741007194,603.7444334
tic-tac-toe,5,0.0,37,0.787056367,0.744769874,0.770833333,610.3287604
tic-tac-toe,5,0.01,37,0.739039666,0.707112971,0.754166667,609.0873322
tic-tac-toe,5,0.1,37,0.659707724,0.635983264,0.658333333,609.0599296
spect,5,0.0,37,0.872180451,0.71641791,0.805970149,602.6535225
spect,5,0.01,37,0.789473684,0.76119403,0.835820896,602.3378057
spect,5,0.1,37,0.789473684,0.76119403,0.835820896,5.08643651
soybean-small,5,0.0,37,1.0,0.75,0.916666667,1.799158335
soybean-small,5,0.01,37,1.0,0.75,0.916666667,6.470685482
soybean-small,5,0.1,37,1.0,0.916666667,1.0,8.977490664
house-votes-84,5,0.0,37,1.0,0.913793103,0.965517241,81.51596284
house-votes-84,5,0.01,37,0.99137931,0.948275862,0.982758621,602.0273244
house-votes-84,5,0.1,37,0.974137931,0.948275862,0.982758621,6.150825739
hayes-roth,5,0.0,37,0.85,0.625,0.75,601.4492176
hayes-roth,5,0.01,37,0.7875,0.65,0.775,601.2426503
hayes-roth,5,0.1,37,0.775,0.7,0.75,601.228075
car-evaluation,5,0.0,37,0.787037037,0.791666667,0.733796296,619.1800432
car-evaluation,5,0.01,37,0.685185185,0.743055556,0.6875,612.5944402
car-evaluation,5,0.1,37,0.685185185,0.743055556,0.6875,611.7545822
breast-cancer,5,0.0,37,0.891304348,0.710144928,0.671428571,602.0512166
breast-cancer,5,0.01,37,0.804347826,0.782608696,0.7,601.9349997
breast-cancer,5,0.1,37,0.717391304,0.710144928,0.685714286,507.037832
balance-scale,5,0.0,37,0.772435897,0.673076923,0.681528662,605.924803
balance-scale,5,0.01,37,0.743589744,0.698717949,0.656050955,604.4811201
balance-scale,5,0.1,37,0.657051282,0.653846154,0.630573248,603.9622931
monks-3,2,0.0,42,0.971119134,0.949275362,0.964028777,26.99176526
monks-3,2,0.01,42,0.971119134,0.949275362,0.964028777,12.53348637
monks-3,2,0.1,42,0.971119134,0.949275362,0.964028777,5.871286631
monks-2,2,0.0,42,0.64,0.68,0.668874172,146.1664853
monks-2,2,0.01,42,0.64,0.68,0.668874172,144.8580847
monks-2,2,0.1,42,0.64,0.68,0.668874172,98.09206152
monks-1,2,0.0,42,0.791366906,0.748201439,0.762589928,39.17430377
monks-1,2,0.01,42,0.791366906,0.748201439,0.762589928,41.41716409
monks-1,2,0.1,42,0.748201439,0.73381295,0.755395683,36.35698652
tic-tac-toe,2,0.0,42,0.707724426,0.673640167,0.7125,560.8710148
tic-tac-toe,2,0.01,42,0.707724426,0.673640167,0.7125,600.5818973
tic-tac-toe,2,0.1,42,0.691022965,0.677824268,0.7375,109.19122
spect,2,0.0,42,0.857142857,0.701492537,0.701492537,2.788538456
spect,2,0.01,42,0.857142857,0.701492537,0.701492537,4.746298075
spect,2,0.1,42,0.781954887,0.746268657,0.865671642,1.925844908
soybean-small,2,0.0,42,1.0,1.0,0.916666667,0.220411539
soybean-small,2,0.01,42,1.0,1.0,0.916666667,1.0043118
soybean-small,2,0.1,42,1.0,1.0,1.0,2.546184778
house-votes-84,2,0.0,42,0.965517241,0.982758621,0.965517241,4.812124014
house-votes-84,2,0.01,42,0.965517241,0.982758621,0.965517241,4.989646196
house-votes-84,2,0.1,42,0.965517241,0.982758621,0.965517241,0.531577349
hayes-roth,2,0.0,42,0.675,0.475,0.55,14.59494328
hayes-roth,2,0.01,42,0.675,0.5,0.65,9.838670015
hayes-roth,2,0.1,42,0.6625,0.525,0.525,11.57502437
