instance,depth,seed,train_acc,val_acc,test_acc,train_time
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0009970664978027344
monks-2,2,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0009970664978027344
monks-1,2,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0005233287811279297
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,0.0009963512420654297
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.0
soybean-small,2,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.000997304916381836
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0
hayes-roth,2,37,0.625,0.4,0.55,0.0
car-evaluation,2,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0
breast-cancer,2,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.000997304916381836
balance-scale,2,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0009975433349609375
monks-3,3,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0
monks-2,3,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.000997304916381836
monks-1,3,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0
tic-tac-toe,3,37,0.7202505219206681,0.694560669456067,0.675,0.0
spect,3,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.000997304916381836
soybean-small,3,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.0009982585906982422
house-votes-84,3,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0009968280792236328
hayes-roth,3,37,0.625,0.4,0.55,0.0010039806365966797
car-evaluation,3,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0
breast-cancer,3,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.000993967056274414
balance-scale,3,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.000997304916381836
monks-3,4,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0
monks-2,4,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0009982585906982422
monks-1,4,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.000997304916381836
tic-tac-toe,4,37,0.7202505219206681,0.694560669456067,0.675,0.001995086669921875
spect,4,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.0
soybean-small,4,37,0.9130434782608695,0.4166666666666667,0.8333333333333334,0.000997781753540039
house-votes-84,4,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0009982585906982422
hayes-roth,4,37,0.625,0.4,0.55,0.0
car-evaluation,4,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0
breast-cancer,4,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0
balance-scale,4,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0009963512420654297
monks-3,5,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.000997304916381836
monks-2,5,37,0.6266666666666667,0.6733333333333333,0.7019867549668874,0.0009980201721191406
monks-1,5,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0
tic-tac-toe,5,37,0.7202505219206681,0.694560669456067,0.675,0.0
spect,5,37,0.7894736842105263,0.7611940298507462,0.835820895522388,0.0009975433349609375
soybean-small,5,37,0.9130434782608695,0.5,0.8333333333333334,0.0
house-votes-84,5,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.0
hayes-roth,5,37,0.625,0.4,0.55,0.0
car-evaluation,5,37,0.7951388888888888,0.7662037037037037,0.7546296296296297,0.0
breast-cancer,5,37,0.7753623188405797,0.8260869565217391,0.7285714285714285,0.0
balance-scale,5,37,0.7275641025641025,0.6089743589743589,0.6751592356687898,0.0009968280792236328
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0009980201721191406
monks-2,2,42,0.64,0.68,0.6688741721854304,0.0
monks-1,2,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0009970664978027344
tic-tac-toe,2,42,0.6910229645093946,0.6778242677824268,0.7375,0.0010335445404052734
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0009984970092773438
soybean-small,2,42,0.8260869565217391,0.6666666666666666,0.8333333333333334,0.0
house-votes-84,2,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0
hayes-roth,2,42,0.5625,0.575,0.475,0.000997781753540039
car-evaluation,2,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0009970664978027344
breast-cancer,2,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0
balance-scale,2,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0
monks-3,3,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0
monks-2,3,42,0.64,0.68,0.6688741721854304,0.0
monks-1,3,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0
tic-tac-toe,3,42,0.6910229645093946,0.6778242677824268,0.7375,0.0009982585906982422
spect,3,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0010251998901367188
soybean-small,3,42,0.8260869565217391,0.6666666666666666,0.75,0.0009975433349609375
house-votes-84,3,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0
hayes-roth,3,42,0.5625,0.575,0.475,0.0009703636169433594
car-evaluation,3,42,0.7488425925925926,0.8240740740740741,0.7893518518518519,0.0010004043579101562
breast-cancer,3,42,0.7898550724637681,0.6811594202898551,0.7285714285714285,0.0009958744049072266
balance-scale,3,42,0.6730769230769231,0.6217948717948718,0.5796178343949044,0.0009958744049072266
monks-3,4,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.0
monks-2,4,42,0.64,0.68,0.6688741721854304,0.0010306835174560547
monks-1,4,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0
tic-tac-toe,4,42,0.6910229645093946,0.6778242677824268,0.7375,0.0009949207305908203
spect,4,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,0.0009946823120117188
soybean-small,4,42,0.8260869565217391,0.6666666666666666,0.75,0.0
house-votes-84,4,42,0.9655172413793104,0.9827586206896551,0.9655172413793104,0.0
hayes-roth,4,42,0.5625,0.575,0.475,0.0
